ElectionID,OfficeCode,BoroughCode,PoliticalDistrict,AD,ED,ElectionName,OfficeTitle,BoroName,EDused,NumofCandidates,VoteforNum,DistFormatted,PubCounter,AbsenteeMil,Federal,Emergency,Affidavit,TotForOffice,Scattered,Unrecorded,PartyName1,CandName1,CandVotes1,PartyName2,CandName2,CandVotes2,PartyName3,CandName3,CandVotes3,PartyName4,CandName4,CandVotes4,PartyName5,CandName5,CandVotes5,PartyName6,CandName6,CandVotes6,PartyName7,CandName7,CandVotes7,PartyName8,CandName8,CandVotes8,TotVotes,ADED2012
2012G,1,4,NY,23,1,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,     1st,375,33,0,0,155,562,0,1,Democratic,Barack Obama / Joe Biden,118,Republican,Mitt Romney / Paul Ryan,351,Conservative,Mitt Romney / Paul Ryan,84,Working Families,Barack Obama / Joe Biden,6,Green,Jill Stein / Cheri Honkal,2,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,1,Constitution,Virgil Goode / Jim Clymer,0,562,23001
2012G,1,4,NY,23,2,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,     2nd,385,42,1,0,142,569,0,1,Democratic,Barack Obama / Joe Biden,118,Republican,Mitt Romney / Paul Ryan,375,Conservative,Mitt Romney / Paul Ryan,61,Working Families,Barack Obama / Joe Biden,6,Green,Jill Stein / Cheri Honkal,3,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,4,Constitution,Virgil Goode / Jim Clymer,2,569,23002
2012G,1,4,NY,23,3,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,     3rd,322,22,3,0,157,500,0,4,Democratic,Barack Obama / Joe Biden,127,Republican,Mitt Romney / Paul Ryan,313,Conservative,Mitt Romney / Paul Ryan,50,Working Families,Barack Obama / Joe Biden,6,Green,Jill Stein / Cheri Honkal,1,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,3,Constitution,Virgil Goode / Jim Clymer,0,500,23003
2012G,1,4,NY,23,4,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,     4th,84,2,0,0,26,111,0,1,Democratic,Barack Obama / Joe Biden,39,Republican,Mitt Romney / Paul Ryan,66,Conservative,Mitt Romney / Paul Ryan,3,Working Families,Barack Obama / Joe Biden,3,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,0,111,23004
2012G,1,4,NY,23,5,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,     5th,235,28,3,0,208,470,0,4,Democratic,Barack Obama / Joe Biden,187,Republican,Mitt Romney / Paul Ryan,249,Conservative,Mitt Romney / Paul Ryan,26,Working Families,Barack Obama / Joe Biden,5,Green,Jill Stein / Cheri Honkal,2,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,1,Constitution,Virgil Goode / Jim Clymer,0,470,23005
2012G,1,4,NY,23,6,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,     6th,234,18,17,0,228,490,1,7,Democratic,Barack Obama / Joe Biden,177,Republican,Mitt Romney / Paul Ryan,283,Conservative,Mitt Romney / Paul Ryan,18,Working Families,Barack Obama / Joe Biden,5,Green,Jill Stein / Cheri Honkal,5,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,1,Constitution,Virgil Goode / Jim Clymer,0,489,23006
2012G,1,4,NY,23,7,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,     7th,227,27,7,0,180,438,0,3,Democratic,Barack Obama / Joe Biden,151,Republican,Mitt Romney / Paul Ryan,256,Conservative,Mitt Romney / Paul Ryan,24,Working Families,Barack Obama / Joe Biden,4,Green,Jill Stein / Cheri Honkal,2,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,1,Constitution,Virgil Goode / Jim Clymer,0,438,23007
2012G,1,4,NY,23,8,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,     8th,252,31,7,0,166,451,0,5,Democratic,Barack Obama / Joe Biden,191,Republican,Mitt Romney / Paul Ryan,220,Conservative,Mitt Romney / Paul Ryan,32,Working Families,Barack Obama / Joe Biden,5,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,3,Constitution,Virgil Goode / Jim Clymer,0,451,23008
2012G,1,4,NY,23,9,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,     9th,200,44,8,0,210,456,2,6,Democratic,Barack Obama / Joe Biden,195,Republican,Mitt Romney / Paul Ryan,231,Conservative,Mitt Romney / Paul Ryan,20,Working Families,Barack Obama / Joe Biden,4,Green,Jill Stein / Cheri Honkal,1,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,3,Constitution,Virgil Goode / Jim Clymer,0,454,23009
2012G,1,4,NY,23,10,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    10th,220,29,4,0,184,434,1,3,Democratic,Barack Obama / Joe Biden,203,Republican,Mitt Romney / Paul Ryan,183,Conservative,Mitt Romney / Paul Ryan,27,Working Families,Barack Obama / Joe Biden,13,Green,Jill Stein / Cheri Honkal,4,Socialism & Lib,Peta Lindsay / Yari Osori,1,Libertarian,Gary Johnson / James P. G,2,Constitution,Virgil Goode / Jim Clymer,0,433,23010
