"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"41","080","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Public Counter",6
"41","080","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Absentee/Military",2
"41","080","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Federal",0
"41","080","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Affidavit",0
"41","080","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Vincent J. Gentile (Democratic)",2
"41","080","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Dan Donovan  (Republican)",6
"41","080","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Dan Donovan  (Conservative)",0
"41","080","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"James C. Lane (Green)",0
"41","080","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Vincent J. Gentile (Working Families)",0
"41","080","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Dan Donovan  (Independence)",0
"45","007","Kings","COMBINED INTO 008/45","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Public Counter",0
"45","007","Kings","COMBINED INTO 008/45","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Absentee/Military",0
"45","007","Kings","COMBINED INTO 008/45","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Federal",0
"45","007","Kings","COMBINED INTO 008/45","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Affidavit",0
"45","008","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Public Counter",53
"45","008","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Absentee/Military",4
"45","008","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Federal",1
"45","008","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Affidavit",0
"45","008","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Vincent J. Gentile (Democratic)",17
"45","008","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Dan Donovan  (Republican)",37
"45","008","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Dan Donovan  (Conservative)",2
"45","008","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"James C. Lane (Green)",0
"45","008","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Vincent J. Gentile (Working Families)",2
"45","008","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Dan Donovan  (Independence)",0
"45","009","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Public Counter",66
"45","009","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Absentee/Military",5
"45","009","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Federal",0
"45","009","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Affidavit",1
"45","009","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Vincent J. Gentile (Democratic)",19
"45","009","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Dan Donovan  (Republican)",42
"45","009","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Dan Donovan  (Conservative)",11
"45","009","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"James C. Lane (Green)",0
"45","009","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Vincent J. Gentile (Working Families)",0
"45","009","Kings","IN-PLAY","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Dan Donovan  (Independence)",0
"45","010","Kings","COMBINED INTO 009/45","11th Congressional and 43 Assembly - 05/05/2015",,"Representative in Congress","11",1,"Public Counter",0
