ElectionID,OfficeCode,BoroughCode,PoliticalDistrict,AD,ED,ElectionName,OfficeTitle,BoroName,EDused,NumofCandidates,VoteforNum,DistFormatted,PubCounter,AbsenteeMil,Federal,Emergency,Affidavit,TotForOffice,Scattered,Unrecorded,PartyName1,CandName1,CandVotes1,PartyName2,CandName2,CandVotes2,PartyName3,CandName3,CandVotes3,PartyName4,CandName4,CandVotes4,PartyName5,CandName5,CandVotes5,ADED,PluralCong12,PluralCongVotes,GrimmTot,MurphyTot
2012G,20,3,11,41,080,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    80th,48,3,0,0,15,54,0,12,Democratic,Mark S. Murphy,24,Republican,Michael G. Grimm,23,Conservative,Michael G. Grimm,6,Working Families,Mark S. Murphy,0,Green,Henry J. Bardel,1,41080,2,29,29,24
2012G,20,3,11,45,007,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,     7th,26,1,0,0,23,26,0,24,Democratic,Mark S. Murphy,15,Republican,Michael G. Grimm,11,Conservative,Michael G. Grimm,0,Working Families,Mark S. Murphy,0,Green,Henry J. Bardel,0,45007,1,15,11,15
2012G,20,3,11,45,008,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,     8th,380,8,11,0,31,315,1,115,Democratic,Mark S. Murphy,119,Republican,Michael G. Grimm,160,Conservative,Michael G. Grimm,24,Working Families,Mark S. Murphy,5,Green,Henry J. Bardel,6,45008,2,184,184,124
2012G,20,3,11,45,009,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,     9th,430,28,21,0,27,367,1,139,Democratic,Mark S. Murphy,107,Republican,Michael G. Grimm,231,Conservative,Michael G. Grimm,21,Working Families,Mark S. Murphy,4,Green,Henry J. Bardel,3,45009,2,252,252,111
2012G,20,3,11,45,010,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    10th,197,2,5,0,9,172,0,41,Democratic,Mark S. Murphy,45,Republican,Michael G. Grimm,107,Conservative,Michael G. Grimm,10,Working Families,Mark S. Murphy,6,Green,Henry J. Bardel,4,45010,2,117,117,51
2012G,20,3,11,45,011,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    11th,414,13,3,0,37,388,0,80,Democratic,Mark S. Murphy,196,Republican,Michael G. Grimm,164,Conservative,Michael G. Grimm,16,Working Families,Mark S. Murphy,8,Green,Henry J. Bardel,4,45011,1,204,180,204
2012G,20,3,11,45,013,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    13th,450,16,12,0,39,409,1,108,Democratic,Mark S. Murphy,163,Republican,Michael G. Grimm,199,Conservative,Michael G. Grimm,28,Working Families,Mark S. Murphy,10,Green,Henry J. Bardel,8,45013,2,227,227,173
2012G,20,3,11,45,014,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    14th,483,8,5,0,35,415,0,116,Democratic,Mark S. Murphy,138,Republican,Michael G. Grimm,240,Conservative,Michael G. Grimm,21,Working Families,Mark S. Murphy,9,Green,Henry J. Bardel,7,45014,2,261,261,147
2012G,20,3,11,45,015,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    15th,138,0,6,0,24,132,0,36,Democratic,Mark S. Murphy,11,Republican,Michael G. Grimm,109,Conservative,Michael G. Grimm,8,Working Families,Mark S. Murphy,0,Green,Henry J. Bardel,4,45015,2,117,117,11
2012G,20,3,11,45,016,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    16th,473,11,3,0,69,442,0,114,Democratic,Mark S. Murphy,101,Republican,Michael G. Grimm,287,Conservative,Michael G. Grimm,42,Working Families,Mark S. Murphy,7,Green,Henry J. Bardel,5,45016,2,329,329,108
