election,office,boro,dist,aded,elname,title,boron,used,cands,num,format,pubct,abs,fed,emer,aff,total,scatter,unrec,dem,demcan,dvote,rep,repcan,rvote,ind,indcan,ivote,cons,concan,cvote,wfp,wfpcan,wfpvote,swp,swpcan,swpvote,soc,soccan,socvote,green,greencan,grnvote,liber,libcan,libvote,pop,popcan,popvote
2008G,1,4,NY,22001,General Election 2008 - 11,President/Vice President,Queens,N,10,1,     1st,17,0,0,0,1,0,0,1,Democratic,Barack Obama / Joe Biden,9,Republican,John McCain / Sarah Palin,7,Independence,John McCain / Sarah Palin,0,Conservative,John McCain / Sarah Palin,0,Working Families,Barack Obama / Joe Biden,1,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,22002,General Election 2008 - 11,President/Vice President,Queens,N,10,1,     2nd,303,5,5,0,10,0,0,6,Democratic,Barack Obama / Joe Biden,233,Republican,John McCain / Sarah Palin,73,Independence,John McCain / Sarah Palin,6,Conservative,John McCain / Sarah Palin,2,Working Families,Barack Obama / Joe Biden,2,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,1,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,22003,General Election 2008 - 11,President/Vice President,Queens,N,10,1,     3rd,460,11,2,0,14,0,0,13,Democratic,Barack Obama / Joe Biden,419,Republican,John McCain / Sarah Palin,40,Independence,John McCain / Sarah Palin,2,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,7,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,22004,General Election 2008 - 11,President/Vice President,Queens,N,10,1,     4th,357,17,4,0,3,0,0,4,Democratic,Barack Obama / Joe Biden,259,Republican,John McCain / Sarah Palin,99,Independence,John McCain / Sarah Palin,8,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,5,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,2,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,22005,General Election 2008 - 11,President/Vice President,Queens,N,10,1,     5th,437,8,2,0,3,0,0,9,Democratic,Barack Obama / Joe Biden,257,Republican,John McCain / Sarah Palin,153,Independence,John McCain / Sarah Palin,14,Conservative,John McCain / Sarah Palin,8,Working Families,Barack Obama / Joe Biden,6,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,1,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,22006,General Election 2008 - 11,President/Vice President,Queens,N,10,1,     6th,183,2,2,0,2,0,0,3,Democratic,Barack Obama / Joe Biden,115,Republican,John McCain / Sarah Palin,55,Independence,John McCain / Sarah Palin,3,Conservative,John McCain / Sarah Palin,8,Working Families,Barack Obama / Joe Biden,2,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,2,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,22007,General Election 2008 - 11,President/Vice President,Queens,N,10,1,     7th,312,4,1,0,14,0,0,1,Democratic,Barack Obama / Joe Biden,245,Republican,John McCain / Sarah Palin,69,Independence,John McCain / Sarah Palin,6,Conservative,John McCain / Sarah Palin,5,Working Families,Barack Obama / Joe Biden,2,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,1,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,22008,General Election 2008 - 11,President/Vice President,Queens,N,10,1,     8th,206,16,0,0,2,0,0,1,Democratic,Barack Obama / Joe Biden,152,Republican,John McCain / Sarah Palin,64,Independence,John McCain / Sarah Palin,3,Conservative,John McCain / Sarah Palin,1,Working Families,Barack Obama / Joe Biden,3,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,22009,General Election 2008 - 11,President/Vice President,Queens,N,10,1,     9th,438,23,5,0,18,0,0,5,Democratic,Barack Obama / Joe Biden,313,Republican,John McCain / Sarah Palin,136,Independence,John McCain / Sarah Palin,9,Conservative,John McCain / Sarah Palin,8,Working Families,Barack Obama / Joe Biden,11,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,22010,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    10th,269,7,5,0,12,0,0,4,Democratic,Barack Obama / Joe Biden,153,Republican,John McCain / Sarah Palin,115,Independence,John McCain / Sarah Palin,1,Conservative,John McCain / Sarah Palin,9,Working Families,Barack Obama / Joe Biden,8,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,1,Populist,Ralph Nader / Matt Gonzal,2
