elect_dist,year,type,office,total_votes,mcmahon_tot,straniere_tot,mcmahon_prop,straniere_prop
45037,2008,general,congress,340,94,218,0.27647058823529413,0.6411764705882353
45038,2008,general,congress,370,75,277,0.20270270270270271,0.7486486486486487
45050,2008,general,congress,334,33,294,0.09880239520958084,0.8802395209580839
45053,2008,general,congress,47,21,22,0.44680851063829785,0.46808510638297873
45083,2008,general,congress,152,65,69,0.4276315789473684,0.45394736842105265
46001,2008,general,congress,362,169,160,0.46685082872928174,0.4419889502762431
46002,2008,general,congress,507,265,197,0.5226824457593688,0.388560157790927
46003,2008,general,congress,523,273,199,0.5219885277246654,0.38049713193116635
46004,2008,general,congress,445,241,160,0.5415730337078651,0.3595505617977528
46005,2008,general,congress,549,331,166,0.6029143897996357,0.302367941712204
46006,2008,general,congress,501,279,186,0.5568862275449101,0.3712574850299401
46007,2008,general,congress,571,337,194,0.5901926444833625,0.3397548161120841
46008,2008,general,congress,506,263,204,0.5197628458498024,0.4031620553359684
46009,2008,general,congress,427,215,176,0.5035128805620609,0.41217798594847777
46010,2008,general,congress,573,303,220,0.5287958115183246,0.38394415357766143
46011,2008,general,congress,94,74,18,0.7872340425531915,0.19148936170212766
46012,2008,general,congress,233,128,88,0.5493562231759657,0.3776824034334764
46013,2008,general,congress,373,244,98,0.6541554959785523,0.26273458445040215
46014,2008,general,congress,389,195,151,0.5012853470437018,0.38817480719794345
46015,2008,general,congress,399,207,158,0.518796992481203,0.39598997493734334
46016,2008,general,congress,366,234,92,0.639344262295082,0.25136612021857924
46017,2008,general,congress,418,251,136,0.6004784688995215,0.3253588516746411
46018,2008,general,congress,422,266,125,0.6303317535545023,0.2962085308056872
46019,2008,general,congress,461,238,194,0.5162689804772235,0.420824295010846
46020,2008,general,congress,329,197,101,0.5987841945288754,0.3069908814589666
46021,2008,general,congress,341,161,153,0.47214076246334313,0.44868035190615835
46022,2008,general,congress,382,267,88,0.6989528795811518,0.23036649214659685
46023,2008,general,congress,293,159,105,0.5426621160409556,0.3583617747440273
46024,2008,general,congress,307,196,89,0.6384364820846905,0.2899022801302932
46025,2008,general,congress,452,258,154,0.5707964601769911,0.3407079646017699
46026,2008,general,congress,330,198,100,0.6,0.30303030303030304
46027,2008,general,congress,481,199,236,0.41372141372141374,0.49064449064449067
46028,2008,general,congress,348,148,170,0.42528735632183906,0.4885057471264368
46029,2008,general,congress,464,124,300,0.2672413793103448,0.646551724137931
46030,2008,general,congress,450,143,278,0.31777777777777777,0.6177777777777778
46031,2008,general,congress,571,215,305,0.37653239929947463,0.5341506129597198
46032,2008,general,congress,359,154,187,0.42896935933147634,0.520891364902507
46033,2008,general,congress,275,107,148,0.3890909090909091,0.5381818181818182
46036,2008,general,congress,3,0,2,0,0.6666666666666666
46093,2008,general,congress,105,54,50,0.5142857142857142,0.47619047619047616
46094,2008,general,congress,0,0,0,NaN,NaN
46095,2008,general,congress,0,0,0,NaN,NaN
46098,2008,general,congress,0,0,0,NaN,NaN
46099,2008,general,congress,20,9,8,0.45,0.4
46101,2008,general,congress,0,0,0,NaN,NaN
47002,2008,general,congress,349,191,141,0.5472779369627507,0.4040114613180516
47005,2008,general,congress,275,114,135,0.41454545454545455,0.4909090909090909
47006,2008,general,congress,236,121,96,0.5127118644067796,0.4067796610169492
47009,2008,general,congress,363,162,172,0.4462809917355372,0.4738292011019284
47010,2008,general,congress,264,94,157,0.3560606060606061,0.5946969696969697
47011,2008,general,congress,341,146,167,0.4281524926686217,0.4897360703812317
47012,2008,general,congress,349,181,153,0.5186246418338109,0.4383954154727794
47013,2008,general,congress,294,154,121,0.5238095238095238,0.41156462585034015
47014,2008,general,congress,288,149,118,0.5173611111111112,0.4097222222222222
47015,2008,general,congress,303,153,126,0.504950495049505,0.4158415841584158
47016,2008,general,congress,334,123,191,0.36826347305389223,0.5718562874251497
47017,2008,general,congress,344,121,203,0.35174418604651164,0.5901162790697675
47024,2008,general,congress,346,121,201,0.34971098265895956,0.5809248554913294
47025,2008,general,congress,435,143,256,0.32873563218390806,0.5885057471264368
47026,2008,general,congress,299,142,141,0.47491638795986624,0.47157190635451507
47027,2008,general,congress,326,163,141,0.5,0.4325153374233129
47028,2008,general,congress,383,126,221,0.3289817232375979,0.577023498694517
47029,2008,general,congress,472,210,205,0.4449152542372881,0.4343220338983051
