elect_dist,year,type,office,total_votes,murphy_tot,grimm_tot,murphy_prop,grimm_prop
41080,2012,general,congressional,54,24,29,0.4444444444444444,0.5370370370370371
45007,2012,general,congressional,26,15,11,0.5769230769230769,0.4230769230769231
45008,2012,general,congressional,314,124,184,0.39490445859872614,0.5859872611464968
45009,2012,general,congressional,366,111,252,0.30327868852459017,0.6885245901639344
45010,2012,general,congressional,172,51,117,0.29651162790697677,0.6802325581395349
45011,2012,general,congressional,388,204,180,0.5257731958762887,0.4639175257731959
45013,2012,general,congressional,408,173,227,0.42401960784313725,0.5563725490196079
45014,2012,general,congressional,415,147,261,0.3542168674698795,0.6289156626506024
45015,2012,general,congressional,132,11,117,0.08333333333333333,0.8863636363636364
45016,2012,general,congressional,442,108,329,0.24434389140271492,0.744343891402715
45017,2012,general,congressional,277,66,209,0.23826714801444043,0.7545126353790613
45019,2012,general,congressional,348,111,233,0.31896551724137934,0.6695402298850575
45020,2012,general,congressional,331,52,278,0.15709969788519637,0.83987915407854985
45021,2012,general,congressional,352,79,271,0.22443181818181818,0.7698863636363636
45022,2012,general,congressional,302,79,221,0.26158940397350994,0.7317880794701986
45023,2012,general,congressional,408,171,232,0.41911764705882354,0.5686274509803921
45026,2012,general,congressional,222,145,73,0.6531531531531531,0.32882882882882886
45027,2012,general,congressional,287,153,129,0.5331010452961672,0.44947735191637633
45028,2012,general,congressional,220,155,63,0.7045454545454546,0.2863636363636364
45029,2012,general,congressional,178,87,90,0.4887640449438202,0.5056179775280899
45030,2012,general,congressional,418,215,198,0.5143540669856459,0.47368421052631576
45031,2012,general,congressional,242,66,170,0.2727272727272727,0.7024793388429752
45032,2012,general,congressional,238,75,160,0.31512605042016806,0.6722689075630253
45033,2012,general,congressional,271,126,143,0.46494464944649444,0.5276752767527675
45034,2012,general,congressional,349,189,154,0.5415472779369628,0.44126074498567336
45035,2012,general,congressional,240,86,153,0.35833333333333334,0.6375
45036,2012,general,congressional,253,88,163,0.34782608695652173,0.6442687747035574
45037,2012,general,congressional,374,118,250,0.3155080213903743,0.6684491978609626
45038,2012,general,congressional,174,98,74,0.5632183908045977,0.42528735632183906
45040,2012,general,congressional,386,152,231,0.39378238341968913,0.5984455958549223
45041,2012,general,congressional,122,47,72,0.38524590163934425,0.5901639344262295
45042,2012,general,congressional,319,141,178,0.44200626959247646,0.5579937304075235
45043,2012,general,congressional,390,188,200,0.48205128205128206,0.5128205128205128
45044,2012,general,congressional,140,79,60,0.5642857142857143,0.42857142857142855
45045,2012,general,congressional,391,355,35,0.907928388746803,0.08951406649616368
45046,2012,general,congressional,512,477,35,0.931640625,0.068359375
45047,2012,general,congressional,37,28,9,0.7567567567567568,0.24324324324324326
45048,2012,general,congressional,531,269,257,0.5065913370998116,0.4839924670433145
45080,2012,general,congressional,247,86,158,0.3481781376518219,0.6396761133603239
45081,2012,general,congressional,342,179,162,0.5233918128654971,0.47368421052631576
46037,2012,general,congressional,22,11,11,0.5,0.5
46038,2012,general,congressional,443,194,243,0.43792325056433407,0.5485327313769752
46039,2012,general,congressional,370,195,172,0.527027027027027,0.4648648648648649
46040,2012,general,congressional,96,58,35,0.6041666666666666,0.3645833333333333
46041,2012,general,congressional,1,1,0,1,0
46047,2012,general,congressional,0,0,0,NaN,NaN
46048,2012,general,congressional,509,309,190,0.6070726915520629,0.37328094302554027
46049,2012,general,congressional,651,402,239,0.6175115207373272,0.3671274961597542
46050,2012,general,congressional,636,296,333,0.46540880503144655,0.5235849056603774
46051,2012,general,congressional,587,240,342,0.4088586030664395,0.5826235093696763
46052,2012,general,congressional,586,284,295,0.48464163822525597,0.5034129692832765
46053,2012,general,congressional,553,290,253,0.5244122965641953,0.45750452079566006
46054,2012,general,congressional,599,366,220,0.6110183639398998,0.3672787979966611
46055,2012,general,congressional,493,315,168,0.6389452332657201,0.3407707910750507
46056,2012,general,congressional,553,354,188,0.6401446654611211,0.3399638336347197
46057,2012,general,congressional,627,345,266,0.5502392344497608,0.42424242424242425
46058,2012,general,congressional,489,315,163,0.6441717791411042,0.3333333333333333
46059,2012,general,congressional,492,312,174,0.6341463414634146,0.35365853658536583
46060,2012,general,congressional,634,344,283,0.5425867507886435,0.44637223974763407
46061,2012,general,congressional,697,402,281,0.5767575322812052,0.4031563845050215
46062,2012,general,congressional,673,418,248,0.6210995542347697,0.3684992570579495
46063,2012,general,congressional,554,379,164,0.6841155234657039,0.296028880866426
46064,2012,general,congressional,675,366,296,0.5422222222222223,0.43851851851851853
46065,2012,general,congressional,658,388,263,0.5896656534954408,0.39969604863221886
46066,2012,general,congressional,526,288,230,0.5475285171102662,0.4372623574144487
46067,2012,general,congressional,541,189,346,0.34935304990757854,0.6395563770794824
46068,2012,general,congressional,510,195,314,0.38235294117647056,0.615686274509804
46069,2012,general,congressional,608,233,372,0.3832236842105263,0.6118421052631579
46070,2012,general,congressional,554,148,405,0.26714801444043323,0.7310469314079422
46071,2012,general,congressional,563,204,353,0.3623445825932504,0.6269982238010657
46072,2012,general,congressional,566,290,273,0.5123674911660777,0.4823321554770318
46073,2012,general,congressional,433,203,227,0.46882217090069284,0.5242494226327945
46074,2012,general,congressional,208,97,111,0.46634615384615385,0.5336538461538461
46075,2012,general,congressional,551,303,242,0.5499092558983666,0.43920145190562615
46076,2012,general,congressional,0,0,0,NaN,NaN
46078,2012,general,congressional,0,0,0,NaN,NaN
46079,2012,general,congressional,0,0,0,NaN,NaN
46080,2012,general,congressional,1,1,0,1,0
46081,2012,general,congressional,506,205,293,0.4051383399209486,0.5790513833992095
47001,2012,general,congressional,391,177,211,0.45268542199488493,0.5396419437340153
47002,2012,general,congressional,376,201,172,0.5345744680851063,0.4574468085106383
47005,2012,general,congressional,343,188,150,0.5481049562682215,0.43731778425655976
47006,2012,general,congressional,341,227,107,0.6656891495601173,0.31378299120234604
47007,2012,general,congressional,275,151,117,0.5490909090909091,0.4254545454545455
47008,2012,general,congressional,293,142,150,0.48464163822525597,0.5119453924914675
47009,2012,general,congressional,441,226,210,0.5124716553287982,0.47619047619047616
47010,2012,general,congressional,73,32,41,0.4383561643835616,0.5616438356164384
47011,2012,general,congressional,299,150,139,0.5016722408026756,0.46488294314381273
47012,2012,general,congressional,313,163,144,0.5207667731629393,0.46006389776357826
47013,2012,general,congressional,274,160,112,0.583941605839416,0.40875912408759124
47014,2012,general,congressional,351,189,154,0.5384615384615384,0.43874643874643876
47015,2012,general,congressional,396,225,162,0.5681818181818182,0.4090909090909091
47016,2012,general,congressional,315,172,141,0.546031746031746,0.44761904761904764
47017,2012,general,congressional,241,144,92,0.5975103734439834,0.3817427385892116
47018,2012,general,congressional,361,164,191,0.45429362880886426,0.5290858725761773
47019,2012,general,congressional,179,83,92,0.46368715083798884,0.5139664804469274
47032,2012,general,congressional,97,72,21,0.7422680412371134,0.21649484536082475
47038,2012,general,congressional,116,59,53,0.5086206896551724,0.45689655172413796
47041,2012,general,congressional,280,176,102,0.6285714285714286,0.36428571428571427
47048,2012,general,congressional,307,132,173,0.42996742671009774,0.5635179153094463
47049,2012,general,congressional,466,206,253,0.44206008583690987,0.5429184549356223
47052,2012,general,congressional,51,35,16,0.6862745098039216,0.3137254901960784
47053,2012,general,congressional,303,291,9,0.9603960396039604,0.0297029702970297
47054,2012,general,congressional,292,284,6,0.9726027397260274,0.02054794520547945
47055,2012,general,congressional,251,137,109,0.545816733067729,0.4342629482071713
47056,2012,general,congressional,328,170,153,0.5182926829268293,0.46646341463414637
47057,2012,general,congressional,397,207,185,0.5214105793450882,0.4659949622166247
47058,2012,general,congressional,297,170,124,0.5723905723905723,0.4175084175084175
47059,2012,general,congressional,304,155,147,0.5098684210526315,0.48355263157894735
47060,2012,general,congressional,130,86,43,0.6615384615384615,0.33076923076923076
47061,2012,general,congressional,240,149,86,0.6208333333333333,0.35833333333333334
47062,2012,general,congressional,292,149,140,0.5102739726027398,0.4794520547945205
47063,2012,general,congressional,362,222,133,0.6132596685082873,0.3674033149171271
47064,2012,general,congressional,307,159,143,0.5179153094462541,0.46579804560260585
47065,2012,general,congressional,188,90,97,0.4787234042553192,0.5159574468085106
49036,2012,general,congressional,104,67,37,0.6442307692307693,0.3557692307692308
49044,2012,general,congressional,104,55,45,0.5288461538461539,0.4326923076923077
49045,2012,general,congressional,117,58,57,0.49572649572649574,0.48717948717948717
49046,2012,general,congressional,0,0,0,NaN,NaN
49047,2012,general,congressional,328,218,103,0.6646341463414634,0.31402439024390244
49048,2012,general,congressional,451,221,227,0.49002217294900224,0.5033259423503326
49049,2012,general,congressional,340,164,168,0.4823529411764706,0.49411764705882355
49050,2012,general,congressional,458,283,168,0.6179039301310044,0.36681222707423583
49051,2012,general,congressional,375,201,173,0.536,0.4613333333333333
49052,2012,general,congressional,480,232,244,0.48333333333333334,0.5083333333333333
49053,2012,general,congressional,506,227,275,0.44861660079051385,0.5434782608695652
49054,2012,general,congressional,569,228,337,0.4007029876977153,0.5922671353251318
51059,2012,general,congressional,530,354,166,0.6679245283018868,0.3132075471698113
61001,2012,general,congressional,683,577,95,0.8448023426061494,0.1390922401171303
61002,2012,general,congressional,480,456,23,0.95,0.04791666666666667
61003,2012,general,congressional,703,578,110,0.8221906116642959,0.15647226173541964
61004,2012,general,congressional,614,451,146,0.7345276872964169,0.23778501628664495
61005,2012,general,congressional,435,402,30,0.9241379310344827,0.06896551724137931
61006,2012,general,congressional,531,383,142,0.7212806026365348,0.2674199623352166
61007,2012,general,congressional,610,586,21,0.9606557377049181,0.03442622950819672
61008,2012,general,congressional,668,605,58,0.905688622754491,0.08682634730538923
61009,2012,general,congressional,692,535,148,0.773121387283237,0.2138728323699422
61010,2012,general,congressional,576,463,104,0.8038194444444444,0.18055555555555555
61011,2012,general,congressional,373,273,96,0.7319034852546917,0.257372654155496
61012,2012,general,congressional,779,461,309,0.5917843388960206,0.39666238767650835
61013,2012,general,congressional,701,580,117,0.8273894436519258,0.16690442225392296
61014,2012,general,congressional,671,434,230,0.646795827123696,0.34277198211624443
61015,2012,general,congressional,668,460,204,0.688622754491018,0.30538922155688625
61016,2012,general,congressional,609,577,27,0.9474548440065681,0.04433497536945813
61017,2012,general,congressional,595,519,68,0.8722689075630252,0.11428571428571428
61018,2012,general,congressional,674,487,182,0.7225519287833828,0.27002967359050445
61019,2012,general,congressional,584,406,166,0.6952054794520548,0.2842465753424658
61020,2012,general,congressional,600,379,217,0.6316666666666667,0.3616666666666667
61021,2012,general,congressional,581,505,70,0.8691910499139415,0.12048192771084337
61022,2012,general,congressional,562,446,114,0.7935943060498221,0.20284697508896798
61023,2012,general,congressional,602,418,178,0.6943521594684385,0.2956810631229236
61024,2012,general,congressional,639,318,316,0.49765258215962443,0.4945226917057903
61025,2012,general,congressional,642,457,183,0.7118380062305296,0.2850467289719626
61026,2012,general,congressional,583,483,93,0.8284734133790738,0.1595197255574614
61027,2012,general,congressional,554,422,128,0.7617328519855595,0.23104693140794225
61028,2012,general,congressional,560,388,166,0.6928571428571428,0.29642857142857143
61029,2012,general,congressional,644,348,292,0.5403726708074534,0.453416149068323
61030,2012,general,congressional,625,471,151,0.7536,0.2416
61031,2012,general,congressional,500,390,107,0.78,0.214
61032,2012,general,congressional,402,303,98,0.753731343283582,0.24378109452736318
61033,2012,general,congressional,331,270,57,0.8157099697885196,0.17220543806646527
61034,2012,general,congressional,623,200,416,0.32102728731942215,0.6677367576243981
61035,2012,general,congressional,455,136,318,0.2989010989010989,0.6989010989010989
61036,2012,general,congressional,338,125,210,0.3698224852071006,0.621301775147929
61037,2012,general,congressional,617,384,214,0.6223662884927067,0.34683954619124796
61038,2012,general,congressional,671,349,309,0.5201192250372578,0.46050670640834573
61039,2012,general,congressional,703,347,349,0.49359886201991465,0.49644381223328593
61040,2012,general,congressional,746,362,375,0.48525469168900803,0.5026809651474531
61041,2012,general,congressional,679,262,408,0.3858615611192931,0.6008836524300442
61042,2012,general,congressional,773,326,435,0.4217335058214748,0.5627425614489003
61043,2012,general,congressional,691,269,411,0.38929088277858176,0.5947901591895803
61044,2012,general,congressional,682,286,389,0.41935483870967744,0.5703812316715543
61045,2012,general,congressional,614,252,359,0.41042345276872966,0.5846905537459284
61046,2012,general,congressional,657,240,411,0.365296803652968,0.6255707762557078
