elect_dist,year,type,office,total_votes,obama_tot,romney_tot,obama_prop,romney_prop
41080,2012,general,president,66,30,35,0.45454545454545453,0.5303030303030303
45007,2012,general,president,50,28,22,0.56,0.44
45008,2012,general,president,424,158,263,0.37264150943396224,0.6202830188679245
45009,2012,general,president,503,99,403,0.19681908548707752,0.8011928429423459
45010,2012,general,president,213,44,168,0.20657276995305165,0.7887323943661971
45011,2012,general,president,464,217,239,0.4676724137931034,0.5150862068965517
45013,2012,general,president,513,186,318,0.36257309941520466,0.6198830409356725
45014,2012,general,president,530,177,343,0.3339622641509434,0.6471698113207547
45015,2012,general,president,165,3,161,0.01818181818181818,0.9757575757575757
45016,2012,general,president,552,112,436,0.2028985507246377,0.7898550724637681
45017,2012,general,president,330,67,261,0.20303030303030303,0.7909090909090909
45019,2012,general,president,416,113,296,0.27163461538461536,0.7115384615384616
45020,2012,general,president,387,39,346,0.10077519379844961,0.8940568475452196
45021,2012,general,president,414,75,337,0.18115942028985507,0.8140096618357487
45022,2012,general,president,359,80,278,0.22284122562674094,0.7743732590529248
45023,2012,general,president,531,198,326,0.3728813559322034,0.6139359698681732
45026,2012,general,president,281,194,87,0.6903914590747331,0.3096085409252669
45027,2012,general,president,359,182,173,0.5069637883008357,0.4818941504178273
45028,2012,general,president,258,176,78,0.6821705426356589,0.3023255813953488
45029,2012,general,president,214,78,135,0.3644859813084112,0.6308411214953271
45030,2012,general,president,484,245,231,0.506198347107438,0.4772727272727273
45031,2012,general,president,300,79,218,0.2633333333333333,0.7266666666666667
45032,2012,general,president,303,85,218,0.28052805280528054,0.7194719471947195
45033,2012,general,president,324,157,166,0.4845679012345679,0.5123456790123457
45034,2012,general,president,426,262,160,0.6150234741784038,0.3755868544600939
45035,2012,general,president,299,107,186,0.35785953177257523,0.6220735785953178
45036,2012,general,president,296,98,194,0.3310810810810811,0.6554054054054054
45037,2012,general,president,454,143,306,0.31497797356828194,0.6740088105726872
45038,2012,general,president,214,122,92,0.5700934579439252,0.42990654205607476
45040,2012,general,president,450,176,270,0.39111111111111113,0.6
45041,2012,general,president,138,55,80,0.39855072463768115,0.5797101449275363
45042,2012,general,president,378,161,214,0.42592592592592593,0.5661375661375662
45043,2012,general,president,452,199,248,0.44026548672566373,0.5486725663716814
45044,2012,general,president,160,96,62,0.6,0.3875
45045,2012,general,president,457,412,44,0.9015317286652079,0.0962800875273523
45046,2012,general,president,569,529,39,0.929701230228471,0.06854130052724078
45047,2012,general,president,42,30,11,0.7142857142857143,0.2619047619047619
45048,2012,general,president,608,278,325,0.45723684210526316,0.5345394736842105
45080,2012,general,president,304,100,201,0.32894736842105265,0.6611842105263158
45081,2012,general,president,414,198,213,0.4782608695652174,0.5144927536231884
46037,2012,general,president,24,13,11,0.5416666666666666,0.4583333333333333
46038,2012,general,president,543,222,314,0.4088397790055249,0.578268876611418
46039,2012,general,president,491,224,262,0.45621181262729127,0.5336048879837068
46040,2012,general,president,110,71,35,0.6454545454545455,0.3181818181818182
46041,2012,general,president,1,1,0,1,0
46048,2012,general,president,590,390,189,0.6610169491525424,0.32033898305084746
46049,2012,general,president,733,491,235,0.669849931787176,0.32060027285129605
46050,2012,general,president,712,377,325,0.5294943820224719,0.45646067415730335
46051,2012,general,president,641,268,361,0.41809672386895474,0.5631825273010921
46052,2012,general,president,750,383,354,0.5106666666666667,0.472
46053,2012,general,president,621,358,258,0.5764895330112721,0.41545893719806765
46054,2012,general,president,687,446,223,0.6491994177583698,0.3245997088791849
46055,2012,general,president,563,376,175,0.6678507992895204,0.3108348134991119
46056,2012,general,president,621,425,181,0.6843800322061192,0.2914653784219002
46057,2012,general,president,678,377,278,0.556047197640118,0.41002949852507375
46058,2012,general,president,559,383,164,0.6851520572450805,0.29338103756708406
46059,2012,general,president,555,375,170,0.6756756756756757,0.3063063063063063
46060,2012,general,president,703,387,304,0.55049786628734,0.43243243243243246
46061,2012,general,president,764,455,284,0.5955497382198953,0.3717277486910995
46062,2012,general,president,730,456,263,0.6246575342465753,0.36027397260273974
46063,2012,general,president,627,437,180,0.696969696969697,0.28708133971291866
46064,2012,general,president,746,420,312,0.5630026809651475,0.41823056300268097
46065,2012,general,president,741,457,274,0.6167341430499326,0.3697705802968961
46066,2012,general,president,597,363,227,0.6080402010050251,0.38023450586264657
46067,2012,general,president,585,230,344,0.39316239316239315,0.588034188034188
46068,2012,general,president,570,236,321,0.41403508771929826,0.5631578947368421
