elect_dist,year,type,office,total_votes,bardel_prop,grimm_prop,recchia_prop,bardel_tot,grimm_tot,recchia_tot
41080,2014,general,cong,23,0,0.5217391304347826,0.4782608695652174,0,12,11
45007,2014,general,cong,15,0,0.4,0.6,0,6,9
45008,2014,general,cong,165,0.030303030303030304,0.45454545454545453,0.5151515151515151,5,75,85
45009,2014,general,cong,209,0.023923444976076555,0.4688995215311005,0.507177033492823,5,98,106
45010,2014,general,cong,113,0,0.6106194690265486,0.3893805309734513,0,69,44
45011,2014,general,cong,174,0.017241379310344827,0.39655172413793105,0.5862068965517241,3,69,102
45013,2014,general,cong,180,0.011111111111111112,0.5,0.4888888888888889,2,90,88
45014,2014,general,cong,249,0.008032128514056224,0.4819277108433735,0.5100401606425703,2,120,127
45015,2014,general,cong,61,0,0.4098360655737705,0.5901639344262295,0,25,36
45016,2014,general,cong,262,0.011450381679389313,0.40076335877862596,0.5877862595419847,3,105,154
45017,2014,general,cong,172,0.01744186046511628,0.313953488372093,0.6686046511627907,3,54,115
45019,2014,general,cong,179,0.00558659217877095,0.40782122905027934,0.5865921787709497,1,73,105
45020,2014,general,cong,167,0.005988023952095809,0.25149700598802394,0.7425149700598802,1,42,124
45021,2014,general,cong,166,0.006024096385542169,0.25301204819277107,0.7409638554216867,1,42,123
45022,2014,general,cong,137,0.014598540145985401,0.34306569343065696,0.6423357664233577,2,47,88
45023,2014,general,cong,207,0.00966183574879227,0.463768115942029,0.5265700483091788,2,96,109
45026,2014,general,cong,108,0.009259259259259259,0.35185185185185186,0.6388888888888888,1,38,69
45027,2014,general,cong,133,0.022556390977443608,0.3157894736842105,0.6616541353383458,3,42,88
45028,2014,general,cong,100,0.04,0.41,0.55,4,41,55
45029,2014,general,cong,108,0.027777777777777776,0.4444444444444444,0.5277777777777778,3,48,57
45030,2014,general,cong,211,0.03317535545023697,0.4218009478672986,0.5450236966824644,7,89,115
45031,2014,general,cong,162,0.012345679012345678,0.47530864197530864,0.5123456790123457,2,77,83
45032,2014,general,cong,142,0.007042253521126761,0.2887323943661972,0.704225352112676,1,41,100
45033,2014,general,cong,148,0.006756756756756757,0.3783783783783784,0.6148648648648649,1,56,91
45034,2014,general,cong,149,0.026845637583892617,0.3825503355704698,0.5906040268456376,4,57,88
45035,2014,general,cong,137,0,0.38686131386861317,0.6131386861313869,0,53,84
45036,2014,general,cong,133,0.007518796992481203,0.3458646616541353,0.6466165413533834,1,46,86
45037,2014,general,cong,142,0.014084507042253521,0.44366197183098594,0.5422535211267606,2,63,77
45038,2014,general,cong,94,0.02127659574468085,0.46808510638297873,0.5106382978723404,2,44,48
45040,2014,general,cong,218,0.03669724770642202,0.41743119266055045,0.5458715596330275,8,91,119
45041,2014,general,cong,68,0.058823529411764705,0.4852941176470588,0.45588235294117646,4,33,31
45042,2014,general,cong,174,0.011494252873563218,0.3793103448275862,0.6091954022988506,2,66,106
45043,2014,general,cong,211,0.02843601895734597,0.41706161137440756,0.5545023696682464,6,88,117
45044,2014,general,cong,49,0.08163265306122448,0.32653061224489793,0.5918367346938775,4,16,29
45045,2014,general,cong,209,0.004784688995215311,0.07655502392344497,0.9186602870813397,1,16,192
45046,2014,general,cong,216,0.013888888888888888,0.08333333333333333,0.9027777777777778,3,18,195
45047,2014,general,cong,14,0,0.42857142857142855,0.5714285714285714,0,6,8
45048,2014,general,cong,292,0.0273972602739726,0.4863013698630137,0.4863013698630137,8,142,142
45055,2014,general,cong,8,0.25,0.25,0.5,2,2,4
45057,2014,general,cong,201,0.024875621890547265,0.4626865671641791,0.5124378109452736,5,93,103
45071,2014,general,cong,157,0.03184713375796178,0.5732484076433121,0.39490445859872614,5,90,62
46031,2014,general,cong,237,0.03375527426160337,0.32489451476793246,0.6413502109704642,8,77,152
46034,2014,general,cong,124,0.04838709677419355,0.3870967741935484,0.5645161290322581,6,48,70
46035,2014,general,cong,90,0.044444444444444446,0.5444444444444444,0.4111111111111111,4,49,37
46036,2014,general,cong,254,0.007874015748031496,0.515748031496063,0.4763779527559055,2,131,121
46037,2014,general,cong,0,NaN,NaN,NaN,0,0,0
46038,2014,general,cong,228,0.021929824561403508,0.4605263157894737,0.5175438596491229,5,105,118
46039,2014,general,cong,200,0.035,0.47,0.495,7,94,99
46040,2014,general,cong,48,0.020833333333333332,0.3958333333333333,0.5833333333333334,1,19,28
46041,2014,general,cong,364,0.04395604395604396,0.4175824175824176,0.5384615384615384,16,152,196
46042,2014,general,cong,105,0.02857142857142857,0.5619047619047619,0.4095238095238095,3,59,43
46047,2014,general,cong,216,0.023148148148148147,0.47685185185185186,0.5,5,103,108
46048,2014,general,cong,221,0.049773755656108594,0.4253393665158371,0.5248868778280543,11,94,116
46049,2014,general,cong,320,0.025,0.384375,0.590625,8,123,189
46050,2014,general,cong,349,0.045845272206303724,0.5530085959885387,0.40114613180515757,16,193,140
46051,2014,general,cong,318,0.031446540880503145,0.5125786163522013,0.4559748427672956,10,163,145
46052,2014,general,cong,468,0.03418803418803419,0.6068376068376068,0.358974358974359,16,284,168
46053,2014,general,cong,323,0.030959752321981424,0.47368421052631576,0.4953560371517028,10,153,160
46054,2014,general,cong,179,0.0670391061452514,0.39106145251396646,0.5418994413407822,12,70,97
46055,2014,general,cong,254,0.04330708661417323,0.4094488188976378,0.547244094488189,11,104,139
