elect_dist,year,type,office,total_votes,donovan_prop,gentile_prop,lane_prop,donovan_tot,gentile_tot,lane_tot
41080,2015,special,cong,8,0.75,0.25,0,6,2,0
45008,2015,special,cong,58,0.6724137931034483,0.3275862068965517,0,39,19,0
45009,2015,special,cong,72,0.7361111111111112,0.2638888888888889,0,53,19,0
45011,2015,special,cong,41,0.6829268292682927,0.2926829268292683,0.024390243902439025,28,12,1
45013,2015,special,cong,39,0.38461538461538464,0.5897435897435898,0.02564102564102564,15,23,1
45014,2015,special,cong,80,0.5875,0.4125,0,47,33,0
45016,2015,special,cong,49,0.6938775510204082,0.30612244897959184,0,34,15,0
45019,2015,special,cong,72,0.8472222222222222,0.1527777777777778,0,61,11,0
45021,2015,special,cong,42,0.6428571428571429,0.3333333333333333,0.023809523809523808,27,14,1
45023,2015,special,cong,55,0.5636363636363636,0.4,0.03636363636363636,31,22,2
45026,2015,special,cong,24,0.4583333333333333,0.5416666666666666,0,11,13,0
45028,2015,special,cong,28,0.39285714285714285,0.6071428571428571,0,11,17,0
45029,2015,special,cong,20,0.5,0.4,0.1,10,8,2
45030,2015,special,cong,50,0.44,0.54,0.02,22,27,1
45031,2015,special,cong,58,0.5,0.5,0,29,29,0
45033,2015,special,cong,47,0.48936170212765956,0.48936170212765956,0.02127659574468085,23,23,1
45034,2015,special,cong,29,0.3448275862068966,0.6206896551724138,0.034482758620689655,10,18,1
45040,2015,special,cong,79,0.5822784810126582,0.4177215189873418,0,46,33,0
45043,2015,special,cong,50,0.42,0.58,0,21,29,0
45045,2015,special,cong,56,0.10714285714285714,0.8928571428571429,0,6,50,0
45046,2015,special,cong,47,0.06382978723404255,0.9148936170212766,0.02127659574468085,3,43,1
45047,2015,special,cong,6,0.3333333333333333,0.6666666666666666,0,2,4,0
45048,2015,special,cong,97,0.5567010309278351,0.44329896907216493,0,54,43,0
45057,2015,special,cong,72,0.4305555555555556,0.5555555555555556,0.013888888888888888,31,40,1
46031,2015,special,cong,125,0.208,0.76,0.032,26,95,4
46036,2015,special,cong,88,0.4431818181818182,0.5454545454545454,0.011363636363636364,39,48,1
46037,2015,special,cong,0,NaN,NaN,NaN,0,0,0
46038,2015,special,cong,57,0.43859649122807015,0.543859649122807,0.017543859649122806,25,31,1
46039,2015,special,cong,48,0.3541666666666667,0.625,0.020833333333333332,17,30,1
46040,2015,special,cong,8,0.375,0.625,0,3,5,0
46041,2015,special,cong,246,0.32926829268292684,0.6544715447154471,0.016260162601626018,81,161,4
46042,2015,special,cong,38,0.39473684210526316,0.6052631578947368,0,15,23,0
46047,2015,special,cong,68,0.4264705882352941,0.5735294117647058,0,29,39,0
46048,2015,special,cong,123,0.23577235772357724,0.7479674796747967,0.016260162601626018,29,92,2
46049,2015,special,cong,155,0.2645161290322581,0.6903225806451613,0.04516129032258064,41,107,7
46050,2015,special,cong,153,0.48366013071895425,0.49673202614379086,0.0196078431372549,74,76,3
46051,2015,special,cong,141,0.4326241134751773,0.5602836879432624,0.0070921985815602835,61,79,1
46052,2015,special,cong,283,0.4134275618374558,0.5759717314487632,0.01060070671378092,117,163,3
46053,2015,special,cong,185,0.3783783783783784,0.5837837837837838,0.03783783783783784,70,108,7
46055,2015,special,cong,77,0.35064935064935066,0.6233766233766234,0.025974025974025976,27,48,2
46056,2015,special,cong,126,0.23015873015873015,0.753968253968254,0.015873015873015872,29,95,2
