elect_dist,year,type,office,total_votes,bardel_prop,donovan_prop,reichard_prop,bardel_tot,donovan_tot,reichard_tot
41080,2016,general,cong,67,0.014925373134328358,0.5522388059701493,0.43283582089552236,1,37,29
45007,2016,general,cong,26,0,0.5,0.5,0,13,13
45008,2016,general,cong,313,0.022364217252396165,0.6389776357827476,0.33865814696485624,7,200,106
45009,2016,general,cong,390,0.010256410256410256,0.7692307692307693,0.2205128205128205,4,300,86
45010,2016,general,cong,171,0,0.8011695906432749,0.19883040935672514,0,137,34
45011,2016,general,cong,387,0.020671834625323,0.46770025839793283,0.5116279069767442,8,181,198
45013,2016,general,cong,398,0.022613065326633167,0.5678391959798995,0.40954773869346733,9,226,163
45014,2016,general,cong,511,0.015655577299412915,0.6712328767123288,0.3131115459882583,8,343,160
45015,2016,general,cong,113,0,0.9292035398230089,0.07079646017699115,0,105,8
45016,2016,general,cong,494,0.018218623481781375,0.7449392712550608,0.23684210526315788,9,368,117
45017,2016,general,cong,320,0.025,0.76875,0.20625,8,246,66
45019,2016,general,cong,376,0.018617021276595744,0.7420212765957447,0.2393617021276596,7,279,90
45020,2016,general,cong,336,0.008928571428571428,0.8630952380952381,0.12797619047619047,3,290,43
45021,2016,general,cong,329,0.00911854103343465,0.817629179331307,0.17325227963525835,3,269,57
45022,2016,general,cong,350,0.025714285714285714,0.7828571428571428,0.19142857142857142,9,274,67
45023,2016,general,cong,434,0.02304147465437788,0.6428571428571429,0.33410138248847926,10,279,145
45026,2016,general,cong,278,0.039568345323741004,0.3237410071942446,0.6366906474820144,11,90,177
45027,2016,general,cong,378,0.0291005291005291,0.4312169312169312,0.5396825396825397,11,163,204
45028,2016,general,cong,266,0.03007518796992481,0.31954887218045114,0.650375939849624,8,85,173
45029,2016,general,cong,221,0.02262443438914027,0.6470588235294118,0.33031674208144796,5,143,73
45030,2016,general,cong,537,0.037243947858473,0.5363128491620112,0.4264432029795158,20,288,229
45031,2016,general,cong,393,0.020356234096692113,0.7150127226463104,0.26463104325699743,8,281,104
45032,2016,general,cong,305,0.013114754098360656,0.7934426229508197,0.19344262295081968,4,242,59
45033,2016,general,cong,342,0.017543859649122806,0.5994152046783626,0.3830409356725146,6,205,131
45034,2016,general,cong,409,0.014669926650366748,0.43276283618581907,0.5525672371638142,6,177,226
45035,2016,general,cong,240,0.025,0.65,0.325,6,156,78
45036,2016,general,cong,246,0.016260162601626018,0.7032520325203252,0.2804878048780488,4,173,69
45037,2016,general,cong,362,0.019337016574585635,0.6988950276243094,0.281767955801105,7,253,102
45038,2016,general,cong,272,0.04411764705882353,0.5036764705882353,0.4522058823529412,12,137,123
45040,2016,general,cong,407,0.036855036855036855,0.6216216216216216,0.3415233415233415,15,253,139
45041,2016,general,cong,155,0.01935483870967742,0.6387096774193548,0.3419354838709677,3,99,53
45042,2016,general,cong,376,0.015957446808510637,0.6329787234042553,0.35106382978723405,6,238,132
45043,2016,general,cong,446,0.02466367713004484,0.5291479820627802,0.4461883408071749,11,236,199
45044,2016,general,cong,180,0.022222222222222223,0.39444444444444443,0.5833333333333334,4,71,105
45045,2016,general,cong,321,0.01557632398753894,0.13395638629283488,0.8504672897196262,5,43,273
45046,2016,general,cong,519,0.019267822736030827,0.15028901734104047,0.8304431599229287,10,78,431
45047,2016,general,cong,65,0.046153846153846156,0.3384615384615385,0.6153846153846154,3,22,40
45048,2016,general,cong,609,0.011494252873563218,0.5467980295566502,0.44170771756978655,7,333,269
45055,2016,general,cong,33,0.030303030303030304,0.48484848484848486,0.48484848484848486,1,16,16
45057,2016,general,cong,441,0.022675736961451247,0.5668934240362812,0.41043083900226757,10,250,181
45071,2016,general,cong,324,0.009259259259259259,0.6728395061728395,0.31790123456790126,3,218,103
46031,2016,general,cong,596,0.03355704697986577,0.3422818791946309,0.6241610738255033,20,204,372
46034,2016,general,cong,291,0.058419243986254296,0.3539518900343643,0.5876288659793815,17,103,171
46035,2016,general,cong,209,0.019138755980861243,0.5358851674641149,0.4449760765550239,4,112,93
46036,2016,general,cong,570,0.01929824561403509,0.6596491228070176,0.32105263157894737,11,376,183
46037,2016,general,cong,2,0,0.5,0.5,0,1,1
