elect_dist,year,type,office,total_votes,carson_prop,cruz_prop,kasich_prop,trump_prop,carson_tot,cruz_tot,kasich_tot,trump_tot
41080,2016,rep primary,pres,9,0,0.2222222222222222,0.2222222222222222,0.5555555555555556,0,2,2,5
45008,2016,rep primary,pres,26,0,0.19230769230769232,0.15384615384615385,0.6538461538461539,0,5,4,17
45009,2016,rep primary,pres,41,0,0.17073170731707318,0.12195121951219512,0.7073170731707317,0,7,5,29
45010,2016,rep primary,pres,23,0,0.34782608695652173,0.13043478260869565,0.5217391304347826,0,8,3,12
45011,2016,rep primary,pres,36,0,0.2777777777777778,0.05555555555555555,0.6666666666666666,0,10,2,24
45013,2016,rep primary,pres,25,0,0.16,0.04,0.8,0,4,1,20
45014,2016,rep primary,pres,49,0.02040816326530612,0.10204081632653061,0.12244897959183673,0.7551020408163265,1,5,6,37
45015,2016,rep primary,pres,10,0,0.3,0,0.7,0,3,0,7
45016,2016,rep primary,pres,43,0,0.2558139534883721,0.16279069767441862,0.5813953488372093,0,11,7,25
45017,2016,rep primary,pres,39,0,0.20512820512820512,0.1282051282051282,0.6666666666666666,0,8,5,26
45019,2016,rep primary,pres,27,0,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,3,3,21
45020,2016,rep primary,pres,21,0.047619047619047616,0.19047619047619047,0.09523809523809523,0.6666666666666666,1,4,2,14
45021,2016,rep primary,pres,37,0,0.10810810810810811,0.24324324324324326,0.6486486486486487,0,4,9,24
45022,2016,rep primary,pres,40,0.025,0.15,0.1,0.725,1,6,4,29
45023,2016,rep primary,pres,60,0.016666666666666666,0.13333333333333333,0.08333333333333333,0.7666666666666667,1,8,5,46
45026,2016,rep primary,pres,5,0,0,0,1,0,0,0,5
45027,2016,rep primary,pres,24,0,0.20833333333333334,0.041666666666666664,0.75,0,5,1,18
45028,2016,rep primary,pres,16,0,0.125,0.1875,0.6875,0,2,3,11
45029,2016,rep primary,pres,20,0,0.2,0.05,0.75,0,4,1,15
45030,2016,rep primary,pres,36,0,0.1388888888888889,0.1111111111111111,0.75,0,5,4,27
45031,2016,rep primary,pres,42,0,0.07142857142857142,0.11904761904761904,0.8095238095238095,0,3,5,34
45032,2016,rep primary,pres,34,0,0.08823529411764706,0.029411764705882353,0.8823529411764706,0,3,1,30
45033,2016,rep primary,pres,37,0,0.08108108108108109,0.08108108108108109,0.8378378378378378,0,3,3,31
45034,2016,rep primary,pres,35,0,0.08571428571428572,0.05714285714285714,0.8571428571428571,0,3,2,30
45035,2016,rep primary,pres,36,0,0.1388888888888889,0.05555555555555555,0.8055555555555556,0,5,2,29
45036,2016,rep primary,pres,32,0,0.0625,0.0625,0.875,0,2,2,28
45037,2016,rep primary,pres,41,0,0.17073170731707318,0.024390243902439025,0.8048780487804879,0,7,1,33
45038,2016,rep primary,pres,27,0,0.07407407407407407,0.037037037037037035,0.8888888888888888,0,2,1,24
45040,2016,rep primary,pres,48,0,0.125,0.0625,0.8125,0,6,3,39
45041,2016,rep primary,pres,20,0,0.15,0,0.85,0,3,0,17
45042,2016,rep primary,pres,54,0,0.12962962962962962,0.1111111111111111,0.7592592592592593,0,7,6,41
45043,2016,rep primary,pres,42,0,0.11904761904761904,0.09523809523809523,0.7857142857142857,0,5,4,33
45044,2016,rep primary,pres,19,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.7894736842105263,1,2,1,15
45045,2016,rep primary,pres,2,0,0,0.5,0.5,0,0,1,1
45046,2016,rep primary,pres,4,0,0.25,0,0.75,0,1,0,3
45047,2016,rep primary,pres,4,0,0,0,1,0,0,0,4
45048,2016,rep primary,pres,47,0,0.2553191489361702,0.0425531914893617,0.7021276595744681,0,12,2,33
45057,2016,rep primary,pres,37,0,0.08108108108108109,0.05405405405405406,0.8648648648648649,0,3,2,32
45071,2016,rep primary,pres,48,0.020833333333333332,0.20833333333333334,0.0625,0.7083333333333334,1,10,3,34
46031,2016,rep primary,pres,49,0,0.08163265306122448,0.1836734693877551,0.7346938775510204,0,4,9,36
46034,2016,rep primary,pres,27,0,0.1111111111111111,0.07407407407407407,0.8148148148148148,0,3,2,22
46035,2016,rep primary,pres,11,0,0.36363636363636365,0.09090909090909091,0.5454545454545454,0,4,1,6
46036,2016,rep primary,pres,82,0.012195121951219513,0.08536585365853659,0.08536585365853659,0.8170731707317073,1,7,7,67
46037,2016,rep primary,pres,0,NaN,NaN,NaN,NaN,0,0,0,0
46038,2016,rep primary,pres,54,0,0.12962962962962962,0.037037037037037035,0.8333333333333334,0,7,2,45
46039,2016,rep primary,pres,28,0,0.10714285714285714,0.03571428571428571,0.8571428571428571,0,3,1,24
46040,2016,rep primary,pres,9,0,0,0,1,0,0,0,9
46041,2016,rep primary,pres,84,0,0.09523809523809523,0.2619047619047619,0.6428571428571429,0,8,22,54
46042,2016,rep primary,pres,36,0,0.1111111111111111,0.08333333333333333,0.8055555555555556,0,4,3,29
46047,2016,rep primary,pres,93,0.010752688172043012,0.08602150537634409,0.08602150537634409,0.8172043010752689,1,8,8,76
46048,2016,rep primary,pres,42,0.023809523809523808,0.047619047619047616,0.23809523809523808,0.6904761904761905,1,2,10,29
46049,2016,rep primary,pres,51,0,0.09803921568627451,0.1568627450980392,0.7450980392156863,0,5,8,38
46050,2016,rep primary,pres,105,0,0.0380952380952381,0.26666666666666666,0.6952380952380952,0,4,28,73
46051,2016,rep primary,pres,122,0.01639344262295082,0.05737704918032787,0.22131147540983606,0.7049180327868853,2,7,27,86
46052,2016,rep primary,pres,92,0,0.14130434782608695,0.15217391304347827,0.7065217391304348,0,13,14,65
46053,2016,rep primary,pres,78,0.02564102564102564,0.10256410256410256,0.34615384615384615,0.5256410256410257,2,8,27,41
46054,2016,rep primary,pres,47,0.02127659574468085,0.0425531914893617,0.2765957446808511,0.6595744680851063,1,2,13,31
46055,2016,rep primary,pres,41,0,0.0975609756097561,0.14634146341463414,0.7560975609756098,0,4,6,31
46056,2016,rep primary,pres,41,0,0.12195121951219512,0.21951219512195122,0.6585365853658537,0,5,9,27
46057,2016,rep primary,pres,75,0.013333333333333334,0.05333333333333334,0.22666666666666666,0.7066666666666667,1,4,17,53
46058,2016,rep primary,pres,51,0,0.11764705882352941,0.1568627450980392,0.7254901960784313,0,6,8,37
46059,2016,rep primary,pres,47,0.02127659574468085,0.23404255319148937,0.0851063829787234,0.6595744680851063,1,11,4,31
46060,2016,rep primary,pres,109,0.009174311926605505,0.045871559633027525,0.26605504587155965,0.6788990825688074,1,5,29,74
46061,2016,rep primary,pres,88,0,0.10227272727272728,0.18181818181818182,0.7159090909090909,0,9,16,63
46062,2016,rep primary,pres,93,0.010752688172043012,0.0967741935483871,0.1935483870967742,0.6989247311827957,1,9,18,65
46063,2016,rep primary,pres,40,0,0.1,0.2,0.7,0,4,8,28
46064,2016,rep primary,pres,85,0.011764705882352941,0.10588235294117647,0.21176470588235294,0.6705882352941176,1,9,18,57
46065,2016,rep primary,pres,73,0,0.0821917808219178,0.1643835616438356,0.7534246575342466,0,6,12,55
46066,2016,rep primary,pres,40,0,0,0.075,0.925,0,0,3,37
46067,2016,rep primary,pres,117,0,0.10256410256410256,0.11965811965811966,0.7777777777777778,0,12,14,91
46068,2016,rep primary,pres,96,0,0.0625,0.28125,0.65625,0,6,27,63
46069,2016,rep primary,pres,91,0.01098901098901099,0.0989010989010989,0.13186813186813187,0.7582417582417582,1,9,12,69
46070,2016,rep primary,pres,93,0,0.10752688172043011,0.07526881720430108,0.8172043010752689,0,10,7,76
46071,2016,rep primary,pres,89,0.011235955056179775,0.0449438202247191,0.21348314606741572,0.7303370786516854,1,4,19,65
46072,2016,rep primary,pres,86,0,0.10465116279069768,0.16279069767441862,0.7325581395348837,0,9,14,63
46074,2016,rep primary,pres,19,0,0.15789473684210525,0.21052631578947367,0.631578947368421,0,3,4,12
46075,2016,rep primary,pres,0,NaN,NaN,NaN,NaN,0,0,0,0
46078,2016,rep primary,pres,69,0.014492753623188406,0.18840579710144928,0.18840579710144928,0.6086956521739131,1,13,13,42
46079,2016,rep primary,pres,118,0.00847457627118644,0.03389830508474576,0.11016949152542373,0.847457627118644,1,4,13,100
47001,2016,rep primary,pres,65,0.015384615384615385,0.12307692307692308,0.18461538461538463,0.676923076923077,1,8,12,44
47002,2016,rep primary,pres,63,0.015873015873015872,0.15873015873015872,0.19047619047619047,0.6349206349206349,1,10,12,40
47005,2016,rep primary,pres,44,0.022727272727272728,0.06818181818181818,0.06818181818181818,0.8409090909090909,1,3,3,37
47006,2016,rep primary,pres,37,0,0.16216216216216217,0.16216216216216217,0.6756756756756757,0,6,6,25
47007,2016,rep primary,pres,43,0,0.023255813953488372,0.23255813953488372,0.7441860465116279,0,1,10,32
47008,2016,rep primary,pres,33,0,0.15151515151515152,0.06060606060606061,0.7878787878787878,0,5,2,26
47009,2016,rep primary,pres,48,0,0.020833333333333332,0.16666666666666666,0.8125,0,1,8,39
47011,2016,rep primary,pres,28,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.8571428571428571,1,2,1,24
47012,2016,rep primary,pres,24,0,0.16666666666666666,0.125,0.7083333333333334,0,4,3,17
47013,2016,rep primary,pres,30,0,0.1,0.03333333333333333,0.8666666666666667,0,3,1,26
47014,2016,rep primary,pres,47,0,0.10638297872340426,0.1702127659574468,0.723404255319149,0,5,8,34
47015,2016,rep primary,pres,21,0,0.14285714285714285,0.047619047619047616,0.8095238095238095,0,3,1,17
47016,2016,rep primary,pres,25,0,0.04,0.08,0.88,0,1,2,22
47017,2016,rep primary,pres,18,0,0.05555555555555555,0.1111111111111111,0.8333333333333334,0,1,2,15
47018,2016,rep primary,pres,44,0,0.3181818181818182,0.1590909090909091,0.5227272727272727,0,14,7,23
47019,2016,rep primary,pres,6,0,0,0.16666666666666666,0.8333333333333334,0,0,1,5
47032,2016,rep primary,pres,3,0,0.3333333333333333,0,0.6666666666666666,0,1,0,2
47038,2016,rep primary,pres,13,0,0,0.15384615384615385,0.8461538461538461,0,0,2,11
47041,2016,rep primary,pres,31,0,0.12903225806451613,0.0967741935483871,0.7741935483870968,0,4,3,24
47048,2016,rep primary,pres,56,0.017857142857142856,0.07142857142857142,0.017857142857142856,0.8928571428571429,1,4,1,50
47049,2016,rep primary,pres,54,0,0.1111111111111111,0.05555555555555555,0.8333333333333334,0,6,3,45
47053,2016,rep primary,pres,0,NaN,NaN,NaN,NaN,0,0,0,0
47054,2016,rep primary,pres,2,0,0,0,1,0,0,0,2
47055,2016,rep primary,pres,37,0,0.13513513513513514,0.08108108108108109,0.7837837837837838,0,5,3,29
47056,2016,rep primary,pres,28,0,0,0.07142857142857142,0.9285714285714286,0,0,2,26
47057,2016,rep primary,pres,51,0,0.058823529411764705,0.11764705882352941,0.8235294117647058,0,3,6,42
47058,2016,rep primary,pres,45,0,0.06666666666666667,0.08888888888888889,0.8444444444444444,0,3,4,38
47059,2016,rep primary,pres,60,0,0.1,0.11666666666666667,0.7833333333333333,0,6,7,47
47060,2016,rep primary,pres,7,0,0.2857142857142857,0.14285714285714285,0.5714285714285714,0,2,1,4
47061,2016,rep primary,pres,26,0,0.038461538461538464,0.07692307692307693,0.8846153846153846,0,1,2,23
47062,2016,rep primary,pres,33,0,0.09090909090909091,0.15151515151515152,0.7575757575757576,0,3,5,25
47063,2016,rep primary,pres,42,0,0.11904761904761904,0.09523809523809523,0.7857142857142857,0,5,4,33
47064,2016,rep primary,pres,23,0.043478260869565216,0.17391304347826086,0.043478260869565216,0.7391304347826086,1,4,1,17
47065,2016,rep primary,pres,36,0,0.05555555555555555,0.027777777777777776,0.9166666666666666,0,2,1,33
47066,2016,rep primary,pres,12,0,0.08333333333333333,0.16666666666666666,0.75,0,1,2,9
47067,2016,rep primary,pres,18,0,0.1111111111111111,0.16666666666666666,0.7222222222222222,0,2,3,13
47068,2016,rep primary,pres,5,0,0,0.2,0.8,0,0,1,4
49036,2016,rep primary,pres,11,0.2727272727272727,0.09090909090909091,0,0.6363636363636364,3,1,0,7
49044,2016,rep primary,pres,17,0,0.11764705882352941,0.23529411764705882,0.6470588235294118,0,2,4,11
49045,2016,rep primary,pres,10,0,0.1,0,0.9,0,1,0,9
49047,2016,rep primary,pres,26,0,0.07692307692307693,0.34615384615384615,0.5769230769230769,0,2,9,15
49048,2016,rep primary,pres,57,0,0.03508771929824561,0.17543859649122806,0.7894736842105263,0,2,10,45
49049,2016,rep primary,pres,52,0,0.11538461538461539,0.1346153846153846,0.75,0,6,7,39
49050,2016,rep primary,pres,41,0.024390243902439025,0.12195121951219512,0.12195121951219512,0.7317073170731707,1,5,5,30
49051,2016,rep primary,pres,47,0,0.0851063829787234,0.1702127659574468,0.7446808510638298,0,4,8,35
49052,2016,rep primary,pres,64,0,0.109375,0.09375,0.796875,0,7,6,51
49053,2016,rep primary,pres,76,0,0.09210526315789473,0.10526315789473684,0.8026315789473685,0,7,8,61
49054,2016,rep primary,pres,55,0,0.01818181818181818,0.12727272727272726,0.8545454545454545,0,1,7,47
49063,2016,rep primary,pres,59,0,0.03389830508474576,0.22033898305084745,0.7457627118644068,0,2,13,44
49065,2016,rep primary,pres,0,NaN,NaN,NaN,NaN,0,0,0,0
51059,2016,rep primary,pres,36,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.7222222222222222,2,2,6,26
61001,2016,rep primary,pres,28,0.03571428571428571,0.21428571428571427,0.32142857142857145,0.42857142857142855,1,6,9,12
61002,2016,rep primary,pres,7,0.14285714285714285,0.14285714285714285,0,0.7142857142857143,1,1,0,5
61003,2016,rep primary,pres,39,0,0.28205128205128205,0.07692307692307693,0.6410256410256411,0,11,3,25
61004,2016,rep primary,pres,52,0,0.19230769230769232,0.11538461538461539,0.6923076923076923,0,10,6,36
61005,2016,rep primary,pres,7,0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0,1,2,4
61006,2016,rep primary,pres,39,0.02564102564102564,0.28205128205128205,0.1794871794871795,0.5128205128205128,1,11,7,20
61007,2016,rep primary,pres,5,0,0,0.2,0.8,0,0,1,4
61008,2016,rep primary,pres,9,0.1111111111111111,0.1111111111111111,0,0.7777777777777778,1,1,0,7
