elect_dist,year,type,office,total_votes,albanese_prop,browder_prop,commey_prop,deblasio_prop,dietl_prop,malliotakis_prop,tolkin_prop,albanese_tot,browder_tot,commey_tot,deblasio_tot,dietl_tot,malliotakis_tot,tolkin_tot
41080,2017,general,mayor,20,0,0,0,0.3,0,0.7,0,0,0,0,6,0,14,0
45008,2017,general,mayor,140,0.007142857142857143,0,0,0.2714285714285714,0.014285714285714285,0.6857142857142857,0.02142857142857143,1,0,0,38,2,96,3
45009,2017,general,mayor,191,0.010471204188481676,0.005235602094240838,0,0.27225130890052357,0.010471204188481676,0.6963350785340314,0.005235602094240838,2,1,0,52,2,133,1
45010,2017,general,mayor,104,0.019230769230769232,0,0,0.25,0.019230769230769232,0.7115384615384616,0,2,0,0,26,2,74,0
45011,2017,general,mayor,161,0.037267080745341616,0.012422360248447204,0,0.42857142857142855,0.049689440993788817,0.45962732919254656,0.012422360248447204,6,2,0,69,8,74,2
45013,2017,general,mayor,176,0.028409090909090908,0.022727272727272728,0.005681818181818182,0.3693181818181818,0.03409090909090909,0.5170454545454546,0.022727272727272728,5,4,1,65,6,91,4
45014,2017,general,mayor,157,0.01910828025477707,0.012738853503184714,0.006369426751592357,0.2611464968152866,0.025477707006369428,0.6687898089171974,0.006369426751592357,3,2,1,41,4,105,1
45015,2017,general,mayor,47,0,0,0,0.06382978723404255,0.02127659574468085,0.9148936170212766,0,0,0,0,3,1,43,0
45016,2017,general,mayor,191,0.010471204188481676,0.015706806282722512,0,0.225130890052356,0.010471204188481676,0.7382198952879581,0,2,3,0,43,2,141,0
45017,2017,general,mayor,131,0.030534351145038167,0.007633587786259542,0,0.17557251908396945,0.022900763358778626,0.7557251908396947,0.007633587786259542,4,1,0,23,3,99,1
45019,2017,general,mayor,156,0.019230769230769232,0,0,0.26282051282051283,0,0.6987179487179487,0.019230769230769232,3,0,0,41,0,109,3
45020,2017,general,mayor,164,0.006097560975609756,0.006097560975609756,0,0.08536585365853659,0.006097560975609756,0.8963414634146342,0,1,1,0,14,1,147,0
