elect_dist,year,type,office,total_votes,clinton_prop,johnson_prop,stein_prop,trump_prop,clinton_tot,johnson_tot,stein_tot,trump_tot
41080,2016,general,pres,67,0.5074626865671642,0,0,0.4925373134328358,34,0,0,33
45007,2016,general,pres,36,0.4444444444444444,0,0,0.5555555555555556,16,0,0,20
45008,2016,general,pres,392,0.3137755102040816,0,0.015306122448979591,0.6709183673469388,123,0,6,263
45009,2016,general,pres,484,0.2190082644628099,0,0.008264462809917356,0.7727272727272727,106,0,4,374
45010,2016,general,pres,204,0.21568627450980393,0,0.004901960784313725,0.7794117647058824,44,0,1,159
45011,2016,general,pres,443,0.5395033860045146,0,0.011286681715575621,0.4492099322799097,239,0,5,199
45013,2016,general,pres,461,0.41431670281995664,0,0.006507592190889371,0.579175704989154,191,0,3,267
45014,2016,general,pres,583,0.2950257289879931,0,0.008576329331046312,0.6963979416809606,172,0,5,406
45015,2016,general,pres,141,0.06382978723404255,0,0,0.9361702127659575,9,0,0,132
45016,2016,general,pres,581,0.24096385542168675,0,0.0034423407917383822,0.7555938037865749,140,0,2,439
45017,2016,general,pres,376,0.22606382978723405,0,0,0.773936170212766,85,0,0,291
45019,2016,general,pres,438,0.2420091324200913,0,0.01598173515981735,0.7420091324200914,106,0,7,325
45020,2016,general,pres,371,0.1509433962264151,0,0.008086253369272238,0.8409703504043127,56,0,3,312
45021,2016,general,pres,406,0.19950738916256158,0,0.0024630541871921183,0.7980295566502463,81,0,1,324
45022,2016,general,pres,419,0.24343675417661098,0,0.011933174224343675,0.7446300715990454,102,0,5,312
45023,2016,general,pres,540,0.34629629629629627,0,0.011111111111111112,0.6425925925925926,187,0,6,347
45026,2016,general,pres,335,0.6477611940298508,0,0.011940298507462687,0.3402985074626866,217,0,4,114
45027,2016,general,pres,457,0.5754923413566739,0,0.015317286652078774,0.40919037199124725,263,0,7,187
45028,2016,general,pres,304,0.7006578947368421,0,0.013157894736842105,0.28618421052631576,213,0,4,87
45029,2016,general,pres,253,0.28063241106719367,0,0.003952569169960474,0.7154150197628458,71,0,1,181
45030,2016,general,pres,590,0.42033898305084744,0,0.01864406779661017,0.5610169491525424,248,0,11,331
45031,2016,general,pres,445,0.2943820224719101,0,0,0.7056179775280899,131,0,0,314
45032,2016,general,pres,360,0.18888888888888888,0,0.011111111111111112,0.8,68,0,4,288
45033,2016,general,pres,413,0.4261501210653753,0,0.01937046004842615,0.5544794188861986,176,0,8,229
45034,2016,general,pres,481,0.5675675675675675,0,0.02494802494802495,0.4074844074844075,273,0,12,196
45035,2016,general,pres,285,0.29473684210526313,0,0.014035087719298246,0.6912280701754386,84,0,4,197
45036,2016,general,pres,283,0.26501766784452296,0,0.007067137809187279,0.7279151943462897,75,0,2,206
45037,2016,general,pres,411,0.30170316301703165,0,0.012165450121654502,0.6861313868613139,124,0,5,282
45038,2016,general,pres,289,0.46366782006920415,0,0.01384083044982699,0.5224913494809689,134,0,4,151
45040,2016,general,pres,476,0.3592436974789916,0,0.01680672268907563,0.6239495798319328,171,0,8,297
45041,2016,general,pres,178,0.34269662921348315,0,0.011235955056179775,0.6460674157303371,61,0,2,115
45042,2016,general,pres,407,0.3783783783783784,0,0.009828009828009828,0.6117936117936118,154,0,4,249
45043,2016,general,pres,519,0.41040462427745666,0,0.023121387283236993,0.5664739884393064,213,0,12,294
45044,2016,general,pres,202,0.6039603960396039,0,0.0049504950495049506,0.3910891089108911,122,0,1,79
45045,2016,general,pres,383,0.8459530026109661,0,0.005221932114882507,0.14882506527415143,324,0,2,57
45046,2016,general,pres,603,0.8540630182421227,0,0.01824212271973466,0.12769485903814262,515,0,11,77
45047,2016,general,pres,78,0.6153846153846154,0,0,0.38461538461538464,48,0,0,30
45048,2016,general,pres,686,0.43002915451895046,0,0.0014577259475218659,0.5685131195335277,295,0,1,390
45055,2016,general,pres,34,0.5,0,0,0.5,17,0,0,17
45057,2016,general,pres,484,0.44008264462809915,0,0.004132231404958678,0.5557851239669421,213,0,2,269
45071,2016,general,pres,352,0.3153409090909091,0,0.011363636363636364,0.6732954545454546,111,0,4,237
46031,2016,general,pres,649,0.6795069337442219,0,0.029275808936825885,0.29121725731895226,441,0,19,189
46034,2016,general,pres,319,0.6677115987460815,0,0.025078369905956112,0.3072100313479624,213,0,8,98
46035,2016,general,pres,239,0.5523012552301255,0,0.012552301255230125,0.4351464435146444,132,0,3,104
46036,2016,general,pres,606,0.3712871287128713,0,0.01485148514851485,0.6138613861386139,225,0,9,372
46037,2016,general,pres,2,0.5,0,0,0.5,1,0,0,1
46038,2016,general,pres,649,0.4083204930662558,0,0.01386748844375963,0.5778120184899846,265,0,9,375
46039,2016,general,pres,598,0.4882943143812709,0,0.0033444816053511705,0.5083612040133779,292,0,2,304
46040,2016,general,pres,157,0.5796178343949044,0,0.012738853503184714,0.40764331210191085,91,0,2,64
46041,2016,general,pres,711,0.5724331926863573,0,0.008438818565400843,0.4191279887482419,407,0,6,298
46042,2016,general,pres,288,0.4756944444444444,0,0.017361111111111112,0.5069444444444444,137,0,5,146
46047,2016,general,pres,566,0.450530035335689,0,0.007067137809187279,0.5424028268551236,255,0,4,307
46048,2016,general,pres,607,0.6177924217462932,0,0.019769357495881382,0.3624382207578254,375,0,12,220
46049,2016,general,pres,612,0.6274509803921569,0,0.032679738562091505,0.33986928104575165,384,0,20,208
46050,2016,general,pres,738,0.516260162601626,0,0.018970189701897018,0.46476964769647694,381,0,14,343
46051,2016,general,pres,683,0.4407027818448023,0,0.007320644216691069,0.5519765739385066,301,0,5,377
